bridge_repo,template_repo,base_branch,template_branch
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-response-curves-basic-08-unit-response-curves,vibe-coding-classroom/basic-08-unit-response-curves,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-unicycle-model-basic-08-unit-unicycle-model,vibe-coding-classroom/basic-08-unit-unicycle-model,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-09-master-multitasking-basic-09-master-multitasking,vibe-coding-classroom/basic-09-master-multitasking,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-hardware-timer-basic-09-unit-hardware-timer,vibe-coding-classroom/basic-09-unit-hardware-timer,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-millis-basic-09-unit-millis,vibe-coding-classroom/basic-09-unit-millis,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-sampling-rate-basic-09-unit-sampling-rate,vibe-coding-classroom/basic-09-unit-sampling-rate,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-10-master-fsm-basic-10-master-fsm,vibe-coding-classroom/basic-10-master-fsm,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-fsm-basic-10-unit-fsm,vibe-coding-classroom/basic-10-unit-fsm,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-state-consistency-basic-10-unit-state-consistency,vibe-coding-classroom/basic-10-unit-state-consistency,main,main
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-ui-design-basic-10-unit-ui-design,vibe-coding-classroom/basic-10-unit-ui-design,main,main
vibe-coding-classroom/vibe-coding-classroom-start-01-master-web-app-start-01-master-web-app,vibe-coding-classroom/start-01-master-web-app,main,main
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-flexbox-layout-start-01-unit-flexbox-layout,vibe-coding-classroom/start-01-unit-flexbox-layout,main,main
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-html5-basics-start-01-unit-html5-basics,vibe-coding-classroom/start-01-unit-html5-basics,main,main
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-ui-ux-standards-start-01-unit-ui-ux-standards,vibe-coding-classroom/start-01-unit-ui-ux-standards,main,main
vibe-coding-classroom/vibe-coding-classroom-start-02-master-web-ble-start-02-master-web-ble,vibe-coding-classroom/start-02-master-web-ble,main,main
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-async-start-02-unit-ble-async,vibe-coding-classroom/start-02-unit-ble-async,main,main
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-security-start-02-unit-ble-security,vibe-coding-classroom/start-02-unit-ble-security,main,main
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-typed-arrays-start-02-unit-typed-arrays,vibe-coding-classroom/start-02-unit-typed-arrays,main,main
vibe-coding-classroom/vibe-coding-classroom-start-03-master-remote-control-start-03-master-remote-control,vibe-coding-classroom/start-03-master-remote-control,main,main
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-control-panel-start-03-unit-control-panel,vibe-coding-classroom/start-03-unit-control-panel,main,main
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-data-json-start-03-unit-data-json,vibe-coding-classroom/start-03-unit-data-json,main,main
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-flow-logic-start-03-unit-flow-logic,vibe-coding-classroom/start-03-unit-flow-logic,main,main
vibe-coding-classroom/vibe-coding-classroom-start-04-master-touch-events-start-04-master-touch-events,vibe-coding-classroom/start-04-master-touch-events,main,main
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-long-press-start-04-unit-long-press,vibe-coding-classroom/start-04-unit-long-press,main,main
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-prevent-default-start-04-unit-prevent-default,vibe-coding-classroom/start-04-unit-prevent-default,main,main
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-touch-basics-start-04-unit-touch-basics,vibe-coding-classroom/start-04-unit-touch-basics,main,main
vibe-coding-classroom/vibe-coding-classroom-start-05-master-joystick-lab-start-05-master-joystick-lab,vibe-coding-classroom/start-05-master-joystick-lab,main,main
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-canvas-joystick-start-05-unit-canvas-joystick,vibe-coding-classroom/start-05-unit-canvas-joystick,main,main
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-joystick-math-start-05-unit-joystick-math,vibe-coding-classroom/start-05-unit-joystick-math,main,main
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-touch-vs-mouse-start-05-unit-touch-vs-mouse,vibe-coding-classroom/start-05-unit-touch-vs-mouse,main,main
